K,Precision_Geometry,Precision_CARE,Std_Geometry,Std_CARE,Delta_Precision,Mean_Oracle_KL_Geometry,Mean_Oracle_KL_CARE,Mean_Oracle_KL_True
42,0.6047619047619048,0.634920634920635,0.12712294000111699,0.12036310228653253,0.030158730158730163,0.0016652136,0.0014264716,0.0011959872
43,0.613953488372093,0.6387596899224806,0.12844846621524328,0.1073692384073227,0.024806201550387597,0.0016725508,0.0014320039,0.001204545
44,0.6151515151515151,0.6515151515151515,0.12488746081815079,0.10616877600821122,0.036363636363636376,0.0016815573,0.0014374375,0.001213158
45,0.6192592592592593,0.6592592592592593,0.1274935109567417,0.11145625406698685,0.040000000000000036,0.0016874125,0.001442169,0.0012216886
46,0.6217391304347826,0.6637681159420289,0.11579701075616337,0.11903483593264388,0.04202898550724632,0.0016965474,0.0014447642,0.0012301953
47,0.625531914893617,0.6652482269503547,0.11700193263717037,0.1179439234382264,0.039716312056737646,0.0016974726,0.0014509076,0.001238744
48,0.625,0.673611111111111,0.11486707293408518,0.10988911358251381,0.04861111111111105,0.0016992956,0.0014552068,0.0012472098
49,0.6326530612244898,0.6802721088435373,0.11153143690840381,0.10208615772682489,0.04761904761904745,0.001695899,0.0014579213,0.0012555777
50,0.632,0.6880000000000001,0.10678326960093826,0.10399999999999998,0.05600000000000005,0.0017047643,0.0014617945,0.0012638331
51,0.6313725490196078,0.6928104575163399,0.10720548263431463,0.09886363608464856,0.06143790849673203,0.0017099034,0.0014678485,0.0012720316
52,0.632051282051282,0.7,0.10412277181665103,0.09800776848008408,0.06794871794871793,0.0017117437,0.0014710185,0.0012801159
53,0.6364779874213835,0.7094339622641509,0.1013652307819159,0.09811320754716983,0.07295597484276739,0.0017105028,0.001472551,0.001288236
54,0.6382716049382716,0.7123456790123457,0.10538033250801629,0.09511782856423813,0.07407407407407407,0.0017152464,0.0014787405,0.0012962401
55,0.6424242424242426,0.7224242424242425,0.09613275180071931,0.09305744347960841,0.07999999999999996,0.0017185773,0.001479684,0.0013041435
56,0.6476190476190476,0.7297619047619046,0.09812586207140418,0.09031941303995553,0.08214285714285696,0.0017201793,0.0014835856,0.0013119797
57,0.6502923976608187,0.7380116959064327,0.09933949645654304,0.08841053187819536,0.08771929824561397,0.0017233974,0.0014844055,0.0013197308
58,0.6482758620689655,0.7448275862068966,0.09075365950874427,0.08497977190471047,0.09655172413793112,0.0017297032,0.0014878727,0.0013273789
59,0.6497175141242938,0.752542372881356,0.08875632491143721,0.08252456332885973,0.10282485875706215,0.0017322433,0.0014909924,0.0013348695
60,0.6500000000000001,0.7555555555555556,0.08606629658238703,0.07785710240602157,0.10555555555555551,0.0017344911,0.0014952358,0.001342233
61,0.6546448087431694,0.7628415300546447,0.09146437575041608,0.0754494233621561,0.10819672131147529,0.0017387102,0.0015009663,0.0013495086
62,0.6569892473118278,0.7677419354838709,0.09170725617299094,0.07256272180130316,0.11075268817204309,0.0017445108,0.0015061569,0.0013567863
63,0.6634920634920634,0.7735449735449736,0.089266017815717,0.07062253423688289,0.11005291005291029,0.0017539286,0.0015139881,0.0013640218
64,0.6635416666666667,0.778125,0.09407351587396365,0.06992369352849338,0.11458333333333326,0.001757098,0.001519066,0.0013712059
65,0.6635897435897434,0.7784615384615385,0.0964647963571487,0.06875620825474613,0.11487179487179511,0.0017639784,0.0015271741,0.0013783454
66,0.6696969696969697,0.7808080808080807,0.09806827204056544,0.07189478646171413,0.11111111111111105,0.0017648118,0.0015323035,0.0013854986
67,0.6766169154228855,0.7840796019900497,0.09698302830655686,0.07349725497559954,0.10746268656716418,0.0017615509,0.0015375606,0.001392546
68,0.6803921568627451,0.7872549019607843,0.10009607073019779,0.07379689908454438,0.10686274509803917,0.0017646538,0.0015408962,0.001399586
69,0.6801932367149758,0.7893719806763284,0.0994934543911575,0.0740628710984997,0.10917874396135263,0.0017713462,0.001548566,0.0014065417
70,0.6799999999999999,0.7952380952380954,0.09784063121038344,0.07444427522233447,0.11523809523809547,0.0017747884,0.0015502758,0.0014134308
71,0.6826291079812207,0.8028169014084505,0.09633455045018297,0.07748612595597279,0.12018779342722985,0.0017784844,0.0015529563,0.001420283
72,0.6861111111111111,0.8092592592592592,0.09699709384302073,0.0810595134379233,0.12314814814814812,0.0017815192,0.0015577452,0.0014271167
73,0.6922374429223743,0.8118721461187215,0.09658802554972246,0.08317022882211851,0.11963470319634717,0.0017820866,0.0015664905,0.0014339506
74,0.6972972972972972,0.8126126126126125,0.09754722654875074,0.08401112235585419,0.11531531531531536,0.0017913191,0.0015718804,0.0014407185
75,0.7013333333333333,0.8142222222222223,0.09927738916792686,0.08109862917658342,0.11288888888888904,0.0017941479,0.0015763383,0.0014474556
76,0.7026315789473684,0.8201754385964913,0.09738027429037135,0.07904477421802675,0.11754385964912295,0.0018015618,0.0015810058,0.0014541291
77,0.7038961038961039,0.8251082251082251,0.09545822650969851,0.08347685397883255,0.12121212121212122,0.0018039041,0.0015883943,0.0014608024
78,0.7102564102564101,0.8273504273504274,0.09442026994626651,0.08133591284355773,0.11709401709401734,0.0018044958,0.001595049,0.0014674809
